Labels,MOF 1 PBS Ar 420 nm 400us Delta OD 10 disparos,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,399960.0000,
Step,40.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

14880.000,-1.68050416E-2,
14920.000,5.56142349E-3,
14960.000,4.24022181E-3,
1.5E04,-6.22265739E-3,
15040.000,2.92998576E-3,
15080.000,6.81778090E-3,
15120.000,3.06358765E-4,
15160.000,9.49236564E-3,
1.52E04,-1.36311390E-2,
15240.000,-6.16970612E-3,
15280.000,-8.90794769E-3,
15320.000,-2.23326497E-3,
15360.000,-2.19056383E-3,
1.54E04,-6.24922710E-3,
15440.000,9.38990060E-3,
15480.000,-2.24782899E-3,
15520.000,-6.41272170E-3,
15560.000,-2.32118834E-3,
1.56E04,1.62167463E-3,
15640.000,-6.22256007E-3,
15680.000,9.49236471E-3,
15720.000,-1.66301057E-2,
15760.000,-1.03218965E-2,
1.58E04,-1.38238138E-2,
15840.000,-7.57660065E-3,
15880.000,2.99382635E-4,
15920.000,-9.80264391E-4,
15960.000,1.07918903E-2,
1.6E04,-7.51531543E-3,
16040.000,-1.26026850E-2,
16080.000,-6.27615256E-3,
16120.000,2.99431587E-4,
16160.000,-3.47847911E-3,
1.62E04,8.12218431E-3,
16240.000,-5.04130870E-3,
16280.000,-7.73303490E-3,
16320.000,-1.26481503E-2,
16360.000,-8.87321681E-3,
1.64E04,1.64194882E-3,
16440.000,1.07918903E-2,
16480.000,-8.66877474E-3,
16520.000,1.34117818E-2,
16560.000,-4.94877668E-3,
1.66E04,-8.85922811E-4,
16640.000,6.93409657E-3,
16680.000,-3.58807901E-3,
16720.000,-2.32118834E-3,
16760.000,2.92800926E-3,
1.68E04,-1.25574917E-2,
16840.000,-2.26233550E-3,
16880.000,6.88163936E-3,
16920.000,-1.01290387E-3,
16960.000,-9.58862074E-4,
1.7E04,1.08666392E-2,
17040.000,-7.36544561E-3,
17080.000,-9.01361275E-3,
17120.000,6.83043851E-3,
17160.000,-3.56963556E-3,
1.72E04,-7.48502137E-3,
17240.000,5.55250840E-3,
17280.000,-1.13289366E-2,
17320.000,-2.33613746E-3,
17360.000,3.47343943E-4,
1.74E04,-7.33599393E-3,
17440.000,2.93292198E-3,
17480.000,5.53483889E-3,
17520.000,1.07428050E-2,
17560.000,6.88163983E-3,
1.76E04,1.06226271E-2,
17640.000,-8.70242249E-3,
17680.000,1.85559187E-2,
