MOF 1 PBS Ar 410 460 nm 400us Delta OD 10 disparos repetido

Labels,1 410.00 nm (LpTimeMap)(LpTimeMap)(MOF 1 PBS Ar 410 430 nm 400us Delta OD 10 disparos repetido)(LpTimeMap),2 420.00 nm (LpTimeMap)(LpTimeMap)(MOF 1 PBS Ar 410 430 nm 400us Delta OD 10 disparos repetido)(LpTimeMap),3 430.00 nm (LpTimeMap)(LpTimeMap)(MOF 1 PBS Ar 410 430 nm 400us Delta OD 10 disparos repetido)(LpTimeMap),1 440.00 nm (LpTimeMap)(MOF 1 PBS Ar 440 460 nm 400us Delta OD 10 disparos repetido)(LpTimeMap),2 450.00 nm (LpTimeMap)(MOF 1 PBS Ar 440 460 nm 400us Delta OD 10 disparos repetido)(LpTimeMap),3 460.00 nm (LpTimeMap)(MOF 1 PBS Ar 440 460 nm 400us Delta OD 10 disparos repetido)(LpTimeMap),
Type,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,
Comment,,,,,,,
Start,0.00,0.00,0.00,0.00,0.00,0.00,
Stop,399960.0000,399960.0000,399960.0000,399960.0000,399960.0000,399960.0000,
Step,40.00,40.00,40.00,40.00,40.00,40.00,
Fixed/Offset, , , , , , ,
XAxis,Time,Time,Time,Time,Time,Time,
YAxis,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,

4880.00,1.85464248E-2,-1.73715670E-2,3.71150876E-4,4.17610456E-4,3.63601081E-4,-9.96049843E-4,
4920.00,1.84929334E-2,1.12439238E-3,1.08434726E-3,-6.73117698E-4,1.59900484E-3,-4.87351819E-4,
4960.00,-6.72724918E-2,-1.78866703E-2,1.08401070E-3,1.50727516E-3,1.24455115E-3,1.30364345E-3,
5000.00,-2.35067792E-2,-4.31972090E-3,-8.73759156E-4,1.98363108E-4,1.60006061E-3,-2.31865182E-4,
5040.00,-1.05001405E-2,8.93664733E-3,-5.20604779E-4,-6.73117582E-4,1.24641950E-3,2.38463836E-5,
5080.00,-1.67913772E-2,-1.56523648E-3,1.90756735E-4,1.50676118E-3,8.92743876E-4,1.04794733E-3,
5120.00,1.02962174E-1,-9.68811102E-3,-5.22220333E-4,6.34809025E-4,7.16497365E-4,-7.43613171E-4,
5160.00,-3.09661627E-2,-1.60406239E-3,-1.41057908E-3,2.81401281E-3,-8.73313867E-4,2.80355162E-4,
5200.00,2.58398633E-2,9.25094448E-3,-2.30583525E-3,-1.11140648E-3,1.03771572E-5,-7.41388183E-4,
5240.00,-4.62807007E-2,-4.53127883E-2,1.37293082E-5,-8.89825693E-4,8.92615295E-4,-4.87351906E-4,
5280.00,-1.74298864E-2,-2.04434432E-2,5.48523443E-4,6.35269913E-4,1.77741365E-3,2.53650669E-5,
5320.00,-4.40932885E-2,8.78510345E-3,-3.43004969E-4,-2.33374711E-4,7.16468610E-4,1.30248663E-3,
5360.00,3.97783220E-2,-4.55768704E-2,1.08441524E-3,4.18124109E-4,1.95198052E-3,6.63985731E-4,
5400.00,3.22802626E-2,-2.61010416E-2,3.69254587E-4,1.50806422E-3,-1.40363129E-3,6.64110470E-4,
5440.00,-2.35067792E-2,1.18203359E-2,1.21325620E-5,-2.33973609E-4,-1.93421880E-3,1.52621564E-4,
5480.00,-4.20424342E-2,-4.28732671E-3,-1.65605365E-4,-6.72296912E-4,-1.04956981E-3,-3.57493846E-4,
5520.00,2.53477376E-2,1.44536626E-2,-1.58922898E-3,2.00310737E-4,1.24535360E-3,1.51976827E-4,
5560.00,6.31911820E-3,1.47950379E-2,7.27249368E-4,4.17610456E-4,-3.44863045E-4,-3.60330625E-4,
5600.00,1.09409109E-1,-1.22962045E-2,1.08410511E-3,-1.10718072E-3,-1.57610967E-3,2.79897911E-4,
5640.00,1.82598419E-2,-1.74548812E-2,9.05511552E-4,-1.11134152E-3,2.30882247E-3,2.42823771E-5,
5680.00,-2.58146729E-2,1.03642233E-3,-6.97349722E-4,-1.11134152E-3,1.86606310E-4,-1.03262319E-4,
5720.00,4.66477163E-2,-1.25701465E-2,5.49090502E-4,1.99896051E-4,-6.96325442E-4,1.17593200E-3,
5760.00,5.50092980E-2,1.98168233E-2,1.91003142E-4,-2.40568639E-4,1.59865350E-3,-8.71001510E-4,
5800.00,-2.77369116E-2,-3.91696282E-2,1.91960309E-4,-4.54691588E-4,8.93169257E-4,-8.69737822E-4,
5840.00,5.29108308E-2,-1.60411280E-3,-8.79175146E-4,1.50754873E-3,3.62695544E-4,-1.00136851E-3,
5880.00,-8.96170922E-3,-4.31553321E-3,-1.95350521E-3,3.90106463E-3,1.07011688E-3,-2.32932332E-4,
5920.00,9.52987596E-2,-1.61664921E-3,5.49189223E-4,-1.98302395E-3,1.42208464E-3,-3.58523306E-4,
5960.00,2.55780555E-2,-2.33156625E-2,1.92504085E-4,-4.37628198E-3,1.88355931E-4,1.52514272E-4,
6000.00,-4.10641879E-2,-1.65373622E-3,7.27095234E-4,-8.92552838E-4,-8.71981028E-4,-3.58523306E-4,
6040.00,-1.34381698E-2,3.68581386E-3,-1.76792569E-3,-2.63663451E-3,5.39684144E-4,2.48624347E-5,
6080.00,1.43790692E-1,-9.61413793E-3,3.70489870E-4,-6.69054396E-4,-8.75907077E-4,7.91976810E-4,
6120.00,-3.18405442E-2,-1.77106950E-2,-5.18993358E-4,-1.10310141E-3,-3.44476488E-4,-1.12871663E-3,
6160.00,-3.18405107E-2,1.18476327E-3,-1.77213119E-3,-8.89793271E-4,1.42236415E-3,-6.15110912E-4,
6200.00,1.86968315E-2,-1.61674968E-3,-1.64090059E-4,6.35269913E-4,-1.67468621E-4,-2.31462123E-4,
6240.00,-9.45795421E-3,2.48302463E-2,-1.23117387E-3,1.28854567E-3,-1.22737547E-3,1.52728782E-4,
6280.00,3.27984579E-2,1.71993673E-2,-1.64455181E-4,-1.76142144E-3,-3.41384817E-4,4.08194610E-4,
6320.00,-3.95652279E-2,-2.92263310E-2,-1.59213424E-3,-2.86726514E-3,-1.58172590E-3,7.91933970E-4,
6360.00,-3.36793140E-2,2.25799978E-2,1.43938372E-3,1.07108173E-3,-2.82432698E-3,1.17461383E-3,
6400.00,-4.30516303E-2,1.26259550E-2,1.26382499E-3,-3.29212216E-3,-3.42722691E-4,-1.25137554E-3,
6440.00,3.21181267E-2,3.82317533E-3,1.26187946E-3,-6.71476941E-4,1.18189309E-5,-1.50848797E-3,
6480.00,-1.74298864E-2,-2.33156141E-2,3.69081332E-4,1.07099500E-3,-1.22655125E-3,1.94211130E-3,
6520.00,1.18274027E-2,-9.61408857E-3,-1.76795246E-3,8.53115169E-4,5.40262961E-4,1.30298710E-3,
6560.00,-3.48307565E-2,1.16312439E-2,-3.41173698E-4,-2.39390763E-4,-8.71328521E-4,-8.71001510E-4,
6600.00,-3.75793725E-2,9.09188017E-3,5.48991782E-4,6.35957986E-4,-5.19998022E-4,1.17345562E-3,
6640.00,-6.64568171E-2,-1.57835928E-3,-3.19708884E-3,1.07129989E-3,7.16499751E-4,-3.57751036E-4,
6680.00,-1.28084933E-2,3.73106869E-3,1.79830729E-3,-2.34605497E-4,-1.39929168E-3,2.80557491E-4,
6720.00,5.74110113E-2,-1.80669166E-2,1.92967374E-4,1.28972554E-3,-1.40450138E-3,-1.76411599E-3,
6760.00,4.58687469E-2,-4.30721184E-3,-1.64847093E-4,-2.19568564E-3,1.77442259E-3,-7.40278687E-4,
6800.00,6.80128634E-2,-4.31134691E-3,3.69972724E-4,-1.98003510E-3,-1.23140065E-3,-1.51151058E-3,
6840.00,-4.72095013E-2,1.17251594E-2,-1.94672262E-3,-2.31613987E-4,1.77481875E-3,1.55907462E-3,
6880.00,-1.80899240E-2,-9.68806073E-3,-1.63307704E-4,1.07115833E-3,2.48394674E-3,1.04759657E-3,
6920.00,7.04738423E-2,-9.76388808E-3,-8.77831189E-4,-6.73085160E-4,1.07000640E-3,1.55880605E-3,
6960.00,5.03419228E-2,-2.58228369E-2,-8.79861240E-4,4.12439881E-3,7.16449518E-4,1.30241050E-3,
7000.00,-2.92852297E-2,2.34179534E-2,2.15091184E-3,-1.10614311E-3,-1.58078363E-3,7.92095962E-4,
7040.00,1.81963034E-2,-1.81587785E-2,3.69946094E-4,-2.37009604E-4,-1.64515804E-4,-2.30983307E-4,
7080.00,1.00358672E-1,8.93659703E-3,3.71005735E-4,-2.18614726E-3,3.63122555E-4,-2.30763122E-4,
