Labels,MOF 2 PBS Ar 420 nm 400us Delta OD 20 disparos,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,399960.0000,
Step,40.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

32720.000,-7.39781943E-4,
32760.000,-7.39591604E-4,
3.28E04,-3.08062125E-4,
32840.000,1.22772559E-4,
32880.000,-7.38930306E-4,
32920.000,2.06059683E-3,
32960.000,-6.31298753E-4,
3.3E04,1.23269405E-4,
33040.000,-3.08056711E-4,
33080.000,1.74278102E-3,
33120.000,-1.60447939E-3,
33160.000,1.58928833E-5,
3.32E04,3.38992686E-4,
33240.000,4.46846243E-4,
33280.000,8.80200299E-4,
33320.000,-7.39433512E-4,
33360.000,1.84944225E-3,
3.34E04,-1.49335479E-3,
33440.000,-3.07981623E-4,
33480.000,-5.23370341E-4,
33520.000,-9.18554724E-5,
33560.000,-5.23546885E-4,
3.36E04,-1.06216746E-3,
33640.000,2.30150807E-4,
33680.000,-5.23828145E-4,
33720.000,1.41785969E-3,
33760.000,-5.23474650E-4,
3.38E04,-2.03436753E-3,
33840.000,-1.49285770E-3,
33880.000,2.31382743E-4,
33920.000,-7.38962379E-4,
33960.000,-1.17118307E-3,
3.4E04,-9.54132294E-4,
34040.000,1.23092963E-4,
34080.000,2.30494858E-4,
34120.000,8.80071428E-4,
34160.000,-9.55862168E-4,
3.42E04,7.71259423E-4,
34240.000,-2.00098584E-4,
34280.000,-2.35669478E-3,
34320.000,-4.15969203E-4,
34360.000,-9.24162086E-5,
3.44E04,8.80071428E-4,
34440.000,1.30872906E-3,
34480.000,-3.08156275E-4,
34520.000,9.85499122E-4,
34560.000,3.38471058E-4,
