Labels,NQ D 600 nm 400 us Delta OD KV 1_75 Ar 20 disparos,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,399960.0000,
Step,40.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

2.28E04,-2.09765788E-3,
22840.000,-2.25454409E-4,
22880.000,7.61565112E-4,
22920.000,-5.59686334E-4,
22960.000,-9.96765913E-4,
2.3E04,1.09153369E-3,
23040.000,1.09123741E-3,
23080.000,-1.43270940E-3,
23120.000,1.75062008E-3,
23160.000,-5.95584515E-6,
2.32E04,-4.43138037E-4,
23240.000,2.11327657E-4,
23280.000,2.11393213E-4,
23320.000,-2.43497198E-3,
23360.000,1.42123329E-3,
2.34E04,-1.76490494E-3,
23440.000,-4.50456195E-4,
23480.000,5.41154353E-4,
23520.000,-1.98376179E-3,
23560.000,-9.98119358E-4,
2.36E04,-1.19160781E-4,
23640.000,-5.56137587E-4,
23680.000,-8.85410002E-4,
23720.000,-2.20250781E-3,
23760.000,9.82822967E-4,
2.38E04,1.20116677E-3,
23840.000,-1.76408410E-3,
23880.000,-8.81129061E-4,
23920.000,4.31047345E-4,
23960.000,9.81148100E-4,
2.4E04,-7.74096756E-4,
24040.000,1.31156470E-3,
24080.000,-8.83550267E-4,
24120.000,6.52316085E-4,
24160.000,-8.85976013E-4,
2.42E04,1.20159739E-3,
24240.000,-2.20058067E-3,
24280.000,-1.21521624E-3,
24320.000,-3.39659076E-4,
24360.000,-1.21794769E-3,
2.44E04,-5.56587882E-4,
24440.000,1.20148319E-3,
24480.000,-1.17540374E-4,
24520.000,2.12613129E-4,
24560.000,1.20066886E-3,
2.46E04,-4.45505808E-4,
24640.000,-2.25519834E-4,
24680.000,-1.98548241E-3,
24720.000,-2.26782649E-4,
24760.000,8.72364209E-4,
2.48E04,8.72331497E-4,
24840.000,-5.54709550E-6,
24880.000,-9.91823850E-4,
24920.000,-1.10309222E-3,
24960.000,2.11360486E-4,
2.5E04,5.43595466E-4,
25040.000,1.97076635E-3,
25080.000,1.42121373E-3,
25120.000,2.41088681E-3,
25160.000,1.04016610E-4,
2.52E04,-1.55211193E-3,
25240.000,-4.47489496E-4,
25280.000,8.70909542E-4,
25320.000,-3.32795782E-4,
25360.000,-6.65701402E-4,
2.54E04,4.33966226E-4,
25440.000,9.81748221E-4,
25480.000,-1.10567524E-3,
25520.000,-1.19160657E-4,
25560.000,5.44273003E-4,
2.56E04,1.01891637E-4,
25640.000,-1.21456699E-3,
25680.000,-7.75237568E-4,
25720.000,-2.08858540E-3,
25760.000,-3.36434459E-4,
2.58E04,-4.48889885E-4,
25840.000,3.21206404E-4,
25880.000,5.43292961E-4,
25920.000,1.04745472E-4,
25960.000,-7.42865723E-6,
2.6E04,3.22348031E-4,
26040.000,3.24754918E-4,
26080.000,-2.23860843E-4,
26120.000,-1.64980779E-3,
26160.000,-6.64269419E-6,
2.62E04,1.20145048E-3,
26240.000,-5.56137587E-4,
26280.000,1.20144512E-3,
26320.000,7.62987533E-4,
26360.000,1.00875885E-4,
2.64E04,-7.75841181E-4,
26440.000,-6.67299086E-4,
26480.000,5.42376423E-4,
26520.000,-8.87774280E-4,
26560.000,-6.26645760E-6,
2.66E04,4.32110653E-4,
26640.000,-3.36007593E-4,
26680.000,9.82477679E-4,
26720.000,-6.70816144E-6,
26760.000,-1.10632973E-3,
2.68E04,-1.10836129E-3,
26840.000,-4.44597186E-4,
26880.000,-2.24526419E-4,
26920.000,-5.61305089E-4,
26960.000,1.20141229E-3,
2.7E04,-1.10305985E-3,
27040.000,-9.99310054E-4,
27080.000,-1.43280742E-3,
27120.000,-3.36467114E-4,
27160.000,-1.87348179E-3,
2.72E04,-1.32828311E-3,
27240.000,4.30547720E-4,
27280.000,-3.39197635E-4,
27320.000,-5.56653249E-4,
27360.000,-7.72485742E-4,
2.74E04,6.53330761E-4,
27440.000,-5.59234992E-4,
27480.000,-6.67875924E-4,
27520.000,-1.32540718E-3,
27560.000,9.82000958E-4,
2.76E04,3.20291379E-4,
27640.000,-4.42521181E-4,
27680.000,-5.54078142E-4,
27720.000,-8.85943358E-4,
27760.000,6.51686452E-4,
2.78E04,-9.93008493E-4,
27840.000,-1.17945230E-4,
27880.000,3.19440529E-4,
27920.000,9.82033671E-4,
27960.000,-1.21180993E-3,
2.8E04,-7.80451170E-4,
28040.000,-9.98648931E-4,
28080.000,-5.57586784E-4,
28120.000,2.07916833E-3,
28160.000,2.12291983E-4,
2.82E04,2.13640931E-4,
28240.000,6.51686511E-4,
28280.000,2.10683997E-4,
28320.000,-1.00053474E-3,
28360.000,4.32608736E-4,
2.84E04,-2.31758645E-3,
28440.000,-4.46968625E-4,
28480.000,-7.80451170E-4,
28520.000,-2.28145625E-4,
28560.000,4.31378896E-4,
2.86E04,-3.36861820E-4,
28640.000,-1.15116032E-4,
28680.000,-4.43138037E-4,
28720.000,-4.46091377E-4,
28760.000,-5.52536047E-4,
2.88E04,2.12901228E-4,
28840.000,-2.08771648E-3,
28880.000,4.31612076E-4,
28920.000,-1.76247570E-3,
28960.000,-1.54670444E-3,
2.9E04,9.82412370E-4,
29040.000,5.43055823E-4,
29080.000,2.62935343E-3,
29120.000,-1.21593149E-3,
29160.000,-2.20437185E-3,
2.92E04,2.15593522E-4,
29240.000,-7.78127462E-4,
29280.000,-2.27614612E-4,
29320.000,-2.25984200E-4,
29360.000,-2.25984331E-4,
2.94E04,-3.36861674E-4,
29440.000,1.31141522E-3,
29480.000,-1.10371306E-3,
29520.000,-2.28480130E-4,
29560.000,-2.28112796E-4,
2.96E04,5.40710520E-4,
29640.000,-9.96798626E-4,
29680.000,-4.46480815E-4,
29720.000,6.51896466E-4,
29760.000,1.02306360E-4,
2.98E04,-2.31755339E-3,
29840.000,-7.83321331E-4,
29880.000,5.40743349E-4,
29920.000,3.24430061E-4,
29960.000,-1.16698968E-4,
3E04,2.15274049E-4,
30040.000,6.51719223E-4,
30080.000,-1.54893997E-3,
30120.000,1.03701161E-4,
30160.000,-1.12633599E-4,
3.02E04,-6.23378855E-6,
30240.000,3.18588456E-4,
30280.000,-4.45505808E-4,
30320.000,2.11071529E-4,
30360.000,2.11137100E-4,
3.04E04,-5.56072104E-4,
30440.000,1.20130321E-3,
