Labels,MOF 1 Air 420 nm 40 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,39996.0000,
Step,4.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

1736.000,-2.62594176E-3,
1740.00,3.82619910E-3,
1744.000,-2.19534943E-3,
1748.000,2.29390850E-3,
1752.000,-4.88486700E-3,
1756.000,-3.38243134E-3,
1760.00,-3.02197668E-3,
1764.000,-4.90413373E-3,
1768.000,8.31390033E-4,
1772.000,-1.10803510E-3,
1776.000,2.03932250E-5,
1780.00,-1.11985311E-3,
1784.000,-2.97682057E-3,
1788.000,-1.86417392E-3,
1792.000,-3.76577984E-4,
1796.000,-3.01488815E-3,
1800.00,3.82901728E-3,
1804.000,-1.12594920E-3,
1808.000,7.97968300E-4,
1812.000,-2.27568671E-3,
1816.000,-1.47768320E-3,
1820.00,-2.23033247E-3,
1824.000,2.28965795E-3,
1828.000,-3.64604552E-4,
1832.000,1.53690600E-3,
1836.000,-7.13728194E-4,
1840.00,5.28700836E-3,
1844.000,-2.22590612E-3,
1848.000,1.57344411E-3,
1852.000,-1.47659681E-3,
1856.000,-1.11127470E-3,
1860.00,7.88325036E-4,
1864.000,3.26872869E-5,
1868.000,1.18762976E-3,
1872.000,1.14729337E-3,
1876.000,-4.51522646E-3,
1880.00,-7.07791653E-4,
1884.000,-7.12926500E-4,
1888.000,7.86364719E-4,
1892.000,-1.10978098E-3,
1896.000,3.77364061E-3,
1900.00,4.17250255E-3,
1904.000,-6.38145534E-3,
1908.000,-3.32859607E-4,
1912.000,2.67381617E-3,
1916.000,-3.54989083E-4,
1920.00,1.19294587E-3,
1924.000,-7.31170934E-4,
1928.000,1.91006893E-5,
1932.000,5.33271488E-3,
1936.000,3.44389444E-3,
1940.00,4.59545385E-3,
1944.000,4.18710755E-3,
1948.000,1.93069165E-3,
1952.000,-2.61864834E-3,
1956.000,3.95753043E-4,
1960.00,8.16885557E-4,
1964.000,4.15162789E-3,
1968.000,8.12003331E-4,
1972.000,2.64880620E-3,
1976.000,3.05812713E-3,
1980.00,5.33669302E-3,
1984.000,4.09334811E-4,
1988.000,-3.74828960E-4,
1992.000,7.95991626E-4,
1996.000,2.25981418E-3,
2000.00,-1.09496049E-3,
2004.000,-3.39317857E-3,
2008.000,2.46489562E-5,
2012.000,4.57644556E-3,
2016.000,3.92286602E-4,
2020.00,7.96747743E-4,
2024.000,-3.00045963E-3,
2028.000,1.54020078E-3,
2032.000,5.65898512E-3,
2036.000,3.39123048E-3,
2040.00,3.82650900E-3,
2044.000,-3.39615624E-3,
2048.000,2.66696559E-3,
2052.000,1.15231040E-3,
2056.000,-3.42413783E-4,
2060.00,3.83199920E-4,
2064.000,-3.38720070E-4,
2068.000,1.89354690E-3,
2072.000,1.94076472E-3,
2076.000,4.92710015E-3,
2080.00,8.00904236E-4,
2084.000,1.18645956E-3,
2088.000,1.14643620E-3,
2092.000,1.18172716E-3,
2096.000,6.77408697E-3,
2100.00,-3.36119067E-3,
2104.000,4.14649770E-3,
2108.000,4.93198121E-3,
2112.000,4.09958069E-4,
2116.000,3.02716810E-3,
2120.00,4.03581216E-4,
2124.000,-8.85924692E-6,
2128.000,1.53929892E-3,
2132.000,7.66790705E-4,
2136.000,1.89004547E-3,
2140.00,3.41229793E-3,
2144.000,4.95728618E-3,
2148.000,-1.12463441E-3,
2152.000,4.07544692E-4,
2156.000,-1.50140119E-3,
2160.00,-3.78885423E-3,
2164.000,2.26441235E-3,
2168.000,3.40493745E-3,
2172.000,-4.55020880E-3,
2176.000,1.90891162E-3,
2180.00,7.77015404E-4,
2184.000,1.91984244E-3,
2188.000,-1.15270598E-3,
2192.000,-3.54327844E-4,
2196.000,-3.00355745E-3,
2200.00,2.27614096E-3,
2204.000,1.53983978E-3,
2208.000,3.64203879E-5,
2212.000,5.67123713E-3,
2216.000,4.61607488E-5,
2220.00,-1.13194506E-3,
2224.000,1.89956126E-3,
2228.000,1.50698249E-3,
2232.000,-3.36493045E-4,
2236.000,-1.84860697E-3,
2240.00,4.54888307E-3,
2244.000,-6.88201457E-4,
2248.000,-7.62781652E-4,
2252.000,-1.13035331E-3,
2256.000,-3.87278298E-4,
2260.00,-2.26155762E-3,
2264.000,7.46750215E-4,
2268.000,-1.89615821E-3,
2272.000,2.70155491E-3,
2276.000,7.53128144E-4,
2280.00,-2.99141952E-3,
2284.000,-7.28486280E-4,
2288.000,-1.50847482E-3,
2292.000,-3.72956600E-3,
2296.000,7.91139028E-4,
2300.00,2.28513707E-3,
2304.000,-2.23680004E-3,
2308.000,7.54355802E-4,
2312.000,3.04187485E-3,
2316.000,-7.18819967E-4,
2320.00,-4.91184276E-3,
2324.000,-4.90885600E-3,
2328.000,2.69046426E-3,
2332.000,-1.87369529E-3,
2336.000,-7.25818798E-4,
2340.00,-3.42418498E-4,
