Labels,VMOF  O2 420 nm 10 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,9999.000,
Step,1.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

702.00,4.76011657E-4,
703.00,-1.32347737E-3,
704.00,2.17117515E-4,
705.00,3.07061156E-4,
706.00,-3.34839016E-4,
707.00,-5.68014046E-4,
708.00,1.88358384E-3,
709.00,1.08750467E-3,
710.00,1.04796817E-3,
711.00,-1.53537767E-4,
712.00,-1.34621543E-4,
713.00,6.56882767E-5,
714.00,-9.55290452E-4,
715.00,-3.42714746E-4,
716.00,2.69221142E-4,
717.00,6.46564469E-4,
718.00,8.67732160E-4,
719.00,2.29759069E-4,
720.00,6.56054995E-4,
721.00,9.24975175E-5,
722.00,4.42884833E-4,
723.00,-1.66138096E-4,
724.00,-5.11317048E-4,
725.00,1.88361399E-3,
726.00,-3.63184925E-4,
727.00,-9.50577727E-4,
728.00,-1.73836725E-3,
729.00,-1.10793195E-3,
730.00,-5.74293255E-4,
731.00,1.25829782E-3,
732.00,-5.28624398E-4,
733.00,4.88660764E-4,
734.00,4.83278491E-5,
735.00,-5.50708268E-4,
736.00,4.79173905E-4,
737.00,-1.34651622E-4,
738.00,4.82336152E-4,
739.00,2.49231304E-3,
740.00,1.28047389E-3,
741.00,1.08910305E-3,
742.00,1.07167149E-3,
743.00,8.51967372E-4,
744.00,-7.47520709E-4,
745.00,-4.92386403E-4,
746.00,-1.54985732E-3,
747.00,7.98599649E-5,
748.00,-5.42806287E-4,
749.00,-9.52168659E-4,
750.00,8.74122663E-4,
751.00,1.07167149E-3,
752.00,-1.14729907E-3,
753.00,-1.45688682E-4,
754.00,-1.12368516E-3,
755.00,-1.53879588E-3,
756.00,-1.47222425E-4,
757.00,-1.32026814E-3,
758.00,-1.54191349E-3,
759.00,2.58143700E-4,
760.00,8.77257669E-4,
761.00,-3.53716459E-4,
762.00,1.27253868E-3,
763.00,-1.58912444E-3,
764.00,-5.12879575E-4,
765.00,2.84994952E-4,
766.00,1.06853514E-3,
767.00,2.70786462E-4,
768.00,2.67625728E-4,
769.00,-2.74103857E-3,
770.00,6.57591561E-4,
771.00,-3.17493890E-4,
772.00,-9.31756222E-4,
773.00,6.67112414E-4,
774.00,2.59739085E-4,
775.00,-1.31463748E-4,
776.00,2.62899761E-4,
777.00,1.31206540E-3,
778.00,8.39307671E-4,
779.00,-1.35646714E-3,
780.00,2.29402632E-3,
781.00,-1.32974563E-3,
782.00,1.05427078E-3,
783.00,8.93053540E-4,
784.00,-1.69295628E-4,
785.00,6.62382110E-4,
786.00,6.71842834E-4,
787.00,1.69511826E-3,
788.00,1.06063392E-3,
789.00,8.56729923E-4,
790.00,-3.45840934E-4,
791.00,5.46160372E-5,
792.00,-9.34848154E-4,
793.00,1.47032924E-3,
794.00,7.35714057E-5,
795.00,-5.39681525E-4,
796.00,4.44420642E-4,
797.00,1.48294691E-3,
798.00,4.49208834E-4,
799.00,1.87092426E-3,
800.00,1.49722525E-3,
801.00,-1.39343159E-4,
802.00,-9.52168659E-4,
803.00,-1.45688682E-4,
804.00,-1.34546089E-3,
805.00,6.49727939E-4,
806.00,-3.23806773E-4,
807.00,1.68403459E-3,
808.00,1.66026759E-3,
809.00,2.27660686E-3,
810.00,1.68089371E-3,
811.00,9.04086919E-4,
812.00,-7.20791635E-4,
813.00,1.28044374E-3,
814.00,-5.50708268E-4,
815.00,-9.26983193E-4,
816.00,1.02583412E-3,
817.00,9.02579632E-4,
818.00,1.67609192E-3,
819.00,1.46872934E-3,
820.00,9.12015443E-4,
821.00,1.40860432E-3,
822.00,1.90573139E-3,
823.00,-1.25178165E-4,
824.00,-7.16016279E-4,
825.00,-3.26963171E-4,
826.00,7.35413196E-5,
827.00,-7.60133844E-4,
828.00,-7.42805714E-4,
829.00,-1.56553462E-3,
830.00,-9.12873889E-4,
831.00,1.28044374E-3,
832.00,1.06696691E-3,
833.00,8.14546802E-5,
834.00,6.76573254E-4,
835.00,-1.18030235E-3,
836.00,1.66975008E-3,
837.00,3.22866428E-4,
838.00,1.67679391E-5,
839.00,-3.45870998E-4,
840.00,-1.34702038E-3,
841.00,-7.14454509E-4,
842.00,-3.30089475E-4,
843.00,-1.14885927E-3,
844.00,-3.22213542E-4,
845.00,4.55472735E-4,
846.00,-1.36117556E-3,
847.00,-3.64778010E-4,
848.00,-3.47404042E-4,
849.00,1.68717536E-3,
850.00,-1.04666680E-4,
851.00,-1.54512096E-3,
852.00,1.44343474E-3,
853.00,3.08656687E-4,
854.00,2.62146114E-5,
855.00,2.61304376E-4,
856.00,-3.75779171E-4,
857.00,2.94477562E-4,
858.00,6.62382110E-4,
859.00,-1.33442425E-3,
860.00,-3.63184925E-4,
861.00,-1.36588386E-3,
862.00,6.65575790E-4,
863.00,1.65709667E-3,
864.00,1.57195551E-4,
865.00,2.69221142E-4,
866.00,1.47189887E-3,
867.00,1.31369487E-3,
868.00,2.07527494E-3,
869.00,6.60785241E-4,
870.00,1.49405561E-3,
871.00,2.93735757E-5,
872.00,-1.37215143E-3,
873.00,-5.30216901E-4,
874.00,4.50744701E-4,
875.00,2.08005076E-3,
876.00,-4.82920732E-4,
877.00,-1.13625743E-3,
878.00,2.55013176E-4,
879.00,2.34484702E-4,
880.00,1.29311625E-3,
881.00,8.75660044E-4,
882.00,1.07326987E-3,
883.00,-1.44064717E-4,
884.00,8.80422827E-4,
885.00,-7.47550745E-4,
886.00,-7.39682349E-4,
887.00,-1.96608831E-3,
888.00,-3.50590330E-4,
889.00,6.72227688E-5,
890.00,1.19308417E-4,
891.00,-9.36439144E-4,
892.00,4.36530798E-4,
893.00,-1.56695402E-4,
