Labels,VMOF  Air 420 nm 40 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,39996.0000,
Step,4.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

1788.000,9.74146649E-4,
1792.000,2.77560344E-3,
1796.000,3.34789953E-3,
1800.00,3.67826055E-4,
1804.000,3.52649688E-4,
1808.000,9.68129723E-4,
1812.000,1.56457222E-3,
1816.000,-3.82468780E-3,
1820.00,-2.04514991E-3,
1824.000,1.56453578E-3,
1828.000,9.59559926E-4,
1832.000,-2.04076269E-3,
1836.000,3.35785793E-3,
1840.00,-8.17067863E-4,
1844.000,-8.21717666E-4,
1848.000,2.13349261E-3,
1852.000,-8.57462175E-4,
1856.000,9.76218435E-4,
1860.00,3.84828803E-4,
1864.000,3.30761331E-3,
1868.000,2.76472466E-3,
1872.000,-1.94558510E-4,
1876.000,-2.13359686E-4,
1880.00,-8.45101138E-4,
1884.000,-8.06015451E-4,
1888.000,-2.03144364E-3,
1892.000,-2.34359977E-4,
1896.000,9.06869827E-4,
1900.00,3.31841083E-3,
1904.000,2.12136051E-3,
1908.000,-2.02676468E-3,
1912.000,4.53870371E-3,
1916.000,1.54623145E-3,
1920.00,-3.20821675E-3,
1924.000,3.89445852E-3,
1928.000,-2.63761310E-3,
1932.000,-4.42417152E-3,
1936.000,-8.24914081E-4,
1940.00,-4.97579947E-3,
1944.000,1.55605038E-3,
1948.000,-1.44566770E-3,
1952.000,3.31964984E-4,
1956.000,-5.02001354E-3,
1960.00,-2.48401077E-4,
1964.000,3.72291252E-4,
1968.000,-3.20207188E-3,
1972.000,-1.42371806E-3,
1976.000,9.36257071E-4,
1980.00,3.95419681E-3,
1984.000,-2.65081436E-3,
1988.000,4.03511542E-4,
1992.000,2.16707704E-3,
1996.000,3.94147960E-3,
2000.00,-6.75268285E-3,
2004.000,-1.44652266E-3,
2008.000,-2.22882853E-4,
2012.000,-2.62937881E-3,
2016.000,-3.22851818E-3,
2020.00,-5.01687219E-3,
2024.000,1.55025977E-3,
2028.000,2.14277627E-3,
2032.000,2.16510775E-3,
2036.000,2.17373483E-3,
2040.00,-2.04029508E-4,
2044.000,1.56419748E-3,
2048.000,-6.20209100E-3,
2052.000,1.55526167E-3,
2056.000,2.11666478E-3,
2060.00,3.78396944E-4,
2064.000,3.27342510E-4,
2068.000,2.76261498E-3,
2072.000,-1.40824483E-3,
2076.000,9.49563750E-4,
2080.00,-8.15406616E-4,
2084.000,-5.63856494E-3,
2088.000,-2.01290031E-3,
2092.000,6.30664360E-3,
2096.000,-2.57231435E-3,
2100.00,9.59565106E-4,
2104.000,-2.04577041E-3,
2108.000,-2.59191543E-3,
2112.000,1.57439837E-3,
2116.000,-2.01282580E-3,
2120.00,2.15506903E-3,
2124.000,-5.59896184E-3,
2128.000,2.12131161E-3,
2132.000,-8.18571832E-4,
2136.000,-2.05015764E-3,
2140.00,3.93906748E-3,
2144.000,3.86506028E-4,
2148.000,3.35867959E-3,
2152.000,2.71988707E-3,
2156.000,1.57061405E-3,
2160.00,-8.31053767E-4,
2164.000,2.15850258E-3,
2168.000,-4.41514421E-3,
2172.000,9.75387578E-4,
2176.000,-6.21026196E-3,
2180.00,-2.03136890E-3,
2184.000,-3.82358860E-3,
2188.000,-2.22681861E-4,
2192.000,-2.03137589E-3,
2196.000,-4.37305542E-3,
2200.00,-2.04114430E-3,
2204.000,3.56781180E-4,
2208.000,3.76994285E-4,
2212.000,4.53825248E-3,
2216.000,3.64463485E-4,
2220.00,1.56958506E-3,
2224.000,-2.05470715E-3,
2228.000,-1.39417592E-3,
2232.000,3.67644243E-4,
2236.000,3.70810769E-4,
2240.00,9.41561360E-4,
2244.000,2.13065045E-3,
2248.000,3.48917180E-4,
2252.000,-8.37309635E-4,
2256.000,1.56470167E-3,
2260.00,4.55731852E-3,
2264.000,-3.78680462E-3,
2268.000,-4.41006431E-3,
2272.000,-1.98930525E-3,
2276.000,-4.42514848E-3,
2280.00,-3.23464186E-3,
2284.000,2.14372692E-3,
2288.000,3.52106814E-4,
2292.000,2.11017393E-3,
2296.000,9.63519269E-4,
2300.00,-1.40739593E-3,
2304.000,-1.42077659E-3,
2308.000,-2.29634607E-4,
2312.000,3.66346620E-4,
2316.000,-2.53022328E-4,
2320.00,9.33451054E-4,
2324.000,2.72868294E-3,
2328.000,-3.23841092E-3,
2332.000,-3.20502650E-3,
2336.000,2.17439863E-3,
2340.00,-1.37399917E-3,
2344.000,-2.04041996E-3,
2348.000,-8.26416945E-4,
2352.000,-3.84013448E-3,
2356.000,-8.44982860E-4,
2360.00,9.40926140E-4,
2364.000,2.12688185E-3,
2368.000,4.59236698E-3,
2372.000,-3.80400172E-3,
2376.000,-8.10917816E-4,
2380.00,2.16039643E-3,
2384.000,3.96705698E-3,
2388.000,-3.23000178E-3,
2392.000,1.58863736E-3,
2396.000,1.53733382E-3,
2400.00,-1.40754902E-3,
2404.000,-1.99854025E-3,
2408.000,9.80251934E-4,
2412.000,-2.36743421E-4,
2416.000,1.57043291E-3,
2420.00,-4.44518402E-3,
2424.000,-5.00545651E-3,
2428.000,3.96456337E-3,
2432.000,-1.40190287E-3,
2436.000,-8.29450379E-4,
2440.00,2.12977547E-3,
2444.000,3.87437409E-4,
2448.000,9.93886846E-4,
2452.000,-1.90380146E-4,
2456.000,-5.04831970E-3,
2460.00,-1.98001042E-3,
2464.000,1.53702463E-3,
2468.000,-2.03121058E-3,
2472.000,6.35255314E-3,
2476.000,3.37860803E-3,
2480.00,9.69445100E-4,
2484.000,-2.50669487E-4,
2488.000,3.74020776E-4,
2492.000,9.74785129E-4,
2496.000,2.16509216E-3,
2500.00,-7.93709245E-4,
2504.000,2.75787967E-3,
2508.000,2.13156524E-3,
2512.000,3.49020062E-4,
2516.000,-5.00246463E-3,
2520.00,-2.65081436E-3,
2524.000,-2.43747243E-4,
2528.000,-2.27483397E-4,
2532.000,1.05085140E-2,
2536.000,6.37789955E-3,
2540.00,-3.77661921E-3,
2544.000,-8.14020983E-4,
2548.000,-4.38495539E-3,
2552.000,-3.24393297E-3,
2556.000,-2.10984799E-4,
2560.00,-2.08594429E-4,
2564.000,3.80186480E-4,
2568.000,-1.40983867E-3,
2572.000,3.35728843E-3,
2576.000,9.66882159E-4,
2580.00,1.59289932E-3,
2584.000,9.61544050E-4,
2588.000,2.73669022E-3,
2592.000,-1.43161637E-3,
2596.000,3.55333323E-4,
2600.00,-1.41213892E-3,
2604.000,-1.42954499E-3,
2608.000,-2.08475569E-4,
2612.000,-1.42444635E-3,
2616.000,1.56453310E-3,
2620.00,6.91938912E-3,
2624.000,2.16602720E-3,
2628.000,3.94031545E-3,
2632.000,-1.43698812E-3,
2636.000,2.81577930E-3,
2640.00,-8.68488627E-4,
2644.000,1.55541382E-3,
2648.000,1.56958506E-3,
2652.000,2.15116492E-3,
2656.000,-8.29498691E-4,
2660.00,2.73747486E-3,
2664.000,-8.34144827E-4,
2668.000,-1.39497896E-3,
2672.000,-7.45082460E-3,
2676.000,-2.58067460E-3,
2680.00,5.13240928E-3,
2684.000,3.99783399E-4,
2688.000,7.51465699E-3,
2692.000,-1.39651867E-3,
2696.000,-2.22761271E-4,
2700.00,2.15774495E-3,
2704.000,9.50860209E-4,
2708.000,5.12756826E-3,
2712.000,-1.39043224E-3,
2716.000,-1.41522882E-3,
2720.00,3.86233209E-4,
2724.000,2.17010244E-3,
2728.000,3.87701584E-4,
2732.000,1.55494618E-3,
2736.000,2.74600857E-3,
2740.00,4.54283226E-3,
2744.000,9.26934823E-4,
2748.000,-2.24963500E-4,
2752.000,-8.31061974E-4,
2756.000,3.61223967E-4,
2760.00,9.90787521E-4,
2764.000,-8.10863217E-4,
2768.000,3.92740651E-4,
2772.000,-1.40510383E-3,
2776.000,2.75714276E-3,
2780.00,-1.71603606E-4,
2784.000,7.51405815E-3,
2788.000,1.56905479E-3,
2792.000,1.56989682E-3,
2796.000,3.33247310E-3,
2800.00,2.73781526E-3,
