Labels,MOF 2 O2  420 nm 20 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,19998.0000,
Step,2.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

1198.000,-9.87697567E-5,
1200.00,7.04229460E-4,
1202.000,-8.44407827E-4,
1204.000,2.04739874E-4,
1206.000,-1.42086053E-3,
1208.000,2.07452988E-3,
1210.00,-3.25282163E-4,
1212.000,6.91758061E-4,
1214.000,-5.68309741E-4,
1216.000,1.52125082E-3,
1218.000,-1.42706581E-3,
1220.00,-5.70408651E-4,
1222.000,-1.12855714E-3,
1224.000,-3.04558111E-4,
1226.000,1.25014468E-3,
1228.000,-1.13065343E-3,
1230.00,-1.39595929E-3,
1232.000,-1.40216504E-3,
1234.000,1.96408670E-4,
1236.000,1.79786424E-4,
1238.000,1.26474001E-3,
1240.00,-1.14307215E-3,
1242.000,-5.95277990E-4,
1244.000,1.51297392E-3,
1246.000,9.85487248E-4,
1248.000,-5.89100411E-4,
1250.00,-1.14516832E-3,
1252.000,-6.97486103E-5,
1254.000,-6.97089563E-5,
1256.000,7.37554510E-4,
1258.000,-3.25282163E-4,
1260.00,-6.22284191E-4,
1262.000,2.04110215E-3,
1264.000,-8.40212626E-4,
1266.000,7.41685566E-4,
1268.000,-8.96211073E-4,
1270.00,2.59077572E-3,
1272.000,-3.39824066E-4,
1274.000,1.24811649E-3,
1276.000,1.61102012E-4,
1278.000,-3.23221699E-4,
1280.00,7.08399923E-4,
1282.000,7.50066945E-4,
1284.000,7.43790821E-4,
1286.000,9.77101270E-4,
1288.000,-8.73416779E-4,
1290.00,-3.25321773E-4,
1292.000,-1.14516832E-3,
1294.000,-3.28391930E-3,
1296.000,7.66711019E-4,
1298.000,1.22723868E-3,
1300.00,2.31692847E-3,
1302.000,-2.43301061E-3,
1304.000,-1.41671044E-3,
1306.000,-2.96604796E-3,
1308.000,1.94345732E-4,
1310.00,-2.75332131E-3,
1312.000,-1.65695546E-3,
1314.000,7.08439620E-4,
1316.000,7.45896075E-4,
1318.000,-8.69301031E-4,
1320.00,1.92243126E-4,
1322.000,4.69040941E-4,
1324.000,7.22976984E-4,
1326.000,7.12530687E-4,
1328.000,-3.52344767E-4,
1330.00,-3.14940087E-4,
1332.000,-2.20550410E-3,
1334.000,-5.80823864E-4,
1336.000,-1.40627567E-3,
1338.000,-2.47638416E-3,
1340.00,-3.50244809E-4,
1342.000,9.91687411E-4,
1344.000,-5.99475577E-4,
1346.000,-1.38769811E-3,
1348.000,-8.60950677E-4,
1350.00,1.96448338E-4,
1352.000,4.93971340E-4,
1354.000,-3.79286823E-4,
1356.000,-1.11613795E-3,
1358.000,4.68961545E-4,
1360.00,-1.12029095E-3,
1362.000,-7.80349001E-5,
1364.000,4.79401962E-4,
1366.000,-1.91787386E-3,
1368.000,-3.37763660E-4,
1370.00,1.79260597E-3,
1372.000,-5.09948368E-5,
1374.000,7.27147621E-4,
1376.000,-1.38765865E-3,
1378.000,1.51297392E-3,
1380.00,1.28557975E-3,
1382.000,-1.11609837E-3,
1384.000,-3.19100713E-4,
1386.000,-1.41876575E-3,
1388.000,9.87514155E-4,
1390.00,-8.67203576E-4,
1392.000,-5.72197532E-5,
1394.000,2.06616265E-3,
1396.000,9.87553969E-4,
1398.000,-8.83824774E-4,
1400.00,1.80514879E-3,
1402.000,1.79885747E-3,
1404.000,2.32322724E-3,
1406.000,4.52328852E-4,
1408.000,-6.05653040E-4,
1410.00,-5.55874489E-4,
1412.000,-2.21169810E-3,
1414.000,-3.19100713E-4,
1416.000,7.47961632E-4,
1418.000,1.53175637E-3,
1420.00,7.20911543E-4,
1422.000,1.25225249E-3,
1424.000,1.54011324E-3,
1426.000,-3.39903316E-4,
1428.000,-1.67564000E-3,
1430.00,1.80932984E-3,
1432.000,9.93793830E-4,
1434.000,9.89660388E-4,
1436.000,-3.14940087E-4,
1438.000,7.22976984E-4,
1440.00,4.83570242E-4,
1442.000,6.70906971E-4,
1444.000,1.25221268E-3,
1446.000,2.21402763E-4,
1448.000,1.83951837E-4,
1450.00,-5.76586521E-4,
1452.000,-1.13895896E-3,
