Labels,MOF 3 O2 420 nm 10 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,9999.000,
Step,1.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

624.00,-1.11858686E-3,
625.00,3.65179847E-4,
626.00,8.13449849E-4,
627.00,9.97239258E-4,
628.00,-1.07244996E-3,
629.00,7.52246066E-4,
630.00,8.05179414E-4,
631.00,7.91953353E-4,
632.00,-2.18330603E-3,
633.00,-1.74098660E-3,
634.00,1.60223979E-4,
635.00,1.42460305E-3,
636.00,-6.44510728E-5,
637.00,-6.88330736E-4,
638.00,-6.88330736E-4,
639.00,3.51967174E-4,
640.00,-2.34930264E-3,
641.00,-5.13484236E-4,
642.00,3.60197446E-4,
643.00,1.32141126E-4,
644.00,-2.77485640E-4,
645.00,-9.22471343E-4,
646.00,-5.10179845E-4,
647.00,-4.90384293E-4,
648.00,3.56949458E-4,
649.00,1.16613135E-3,
650.00,3.76753072E-4,
651.00,1.62515964E-3,
652.00,1.45347090E-4,
653.00,-6.11747382E-5,
654.00,1.63533536E-4,
655.00,5.48716460E-4,
656.00,-1.53849600E-3,
657.00,5.33857790E-4,
658.00,-2.47760297E-4,
659.00,5.45403978E-4,
660.00,-4.42575372E-4,
661.00,-3.00565443E-4,
662.00,8.03537958E-4,
663.00,-3.13789351E-4,
664.00,1.51934466E-4,
665.00,1.58553463E-4,
666.00,5.68623422E-4,
667.00,-1.14828406E-3,
668.00,-4.72224434E-4,
669.00,7.65470904E-4,
670.00,-8.87884991E-4,
671.00,-5.21760958E-4,
672.00,5.61966677E-4,
673.00,1.62187056E-3,
674.00,1.96598878E-4,
675.00,1.38728297E-4,
676.00,-3.12152144E-4,
677.00,1.62348349E-3,
678.00,9.98849864E-4,
679.00,1.18098001E-3,
680.00,1.25522536E-4,
681.00,-7.08148757E-4,
682.00,-5.78353756E-5,
683.00,1.00049202E-3,
684.00,3.42034298E-4,
685.00,9.88902175E-4,
686.00,-7.06481573E-4,
687.00,-2.77454150E-4,
688.00,1.78442569E-4,
689.00,-7.43744313E-5,
690.00,-9.07631009E-4,
691.00,5.57013554E-4,
692.00,-4.68951184E-4,
693.00,8.03537958E-4,
694.00,-1.34260149E-3,
695.00,5.60294604E-4,
696.00,-1.95313781E-3,
697.00,1.43708152E-4,
698.00,1.42037679E-4,
699.00,2.02664593E-3,
700.00,4.18097537E-4,
701.00,1.43676632E-4,
702.00,-4.72224434E-4,
703.00,1.38728297E-4,
704.00,-4.70587809E-4,
705.00,1.19093212E-3,
706.00,3.83375474E-4,
707.00,3.50295915E-4,
708.00,5.30545425E-4,
709.00,-7.60125477E-5,
710.00,-8.81281856E-4,
711.00,-9.50515736E-4,
712.00,-1.14655576E-3,
713.00,-4.83775075E-4,
714.00,1.17109134E-3,
715.00,-6.98239892E-4,
716.00,-2.60062143E-3,
717.00,-1.31957699E-3,
718.00,-1.74754532E-3,
719.00,-1.77553645E-3,
720.00,-1.97286671E-3,
721.00,5.88436669E-4,
722.00,1.42037679E-4,
723.00,-6.89998036E-4,
724.00,-1.10871880E-3,
725.00,-1.74594484E-3,
726.00,-1.57805358E-3,
727.00,-7.10981694E-5,
728.00,-2.72542064E-4,
729.00,-1.09885039E-3,
730.00,-3.14345889E-5,
731.00,5.35529747E-4,
732.00,-8.87853559E-4,
733.00,1.41293858E-3,
734.00,-1.77221023E-3,
735.00,-6.71877991E-4,
736.00,-9.07693873E-4,
737.00,-1.12848612E-3,
738.00,3.43705527E-4,
739.00,1.61858159E-3,
740.00,1.70152707E-4,
741.00,-4.80501913E-4,
742.00,5.35529747E-4,
743.00,2.26732320E-3,
744.00,2.65941792E-3,
745.00,-1.74425018E-3,
746.00,-2.14389758E-3,
747.00,2.27733189E-3,
