Labels,MOF 2 430nm 1000 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,9.999E005,
Step,100.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

6.18E04,1.95191032E-3,
6.19E04,-3.37128970E-3,
6.2E04,1.28722435E-3,
6.21E04,-2.02922896E-3,
6.22E04,-1.35454594E-3,
6.23E04,-4.69247531E-3,
6.24E04,1.95344654E-3,
6.25E04,1.28625589E-3,
6.26E04,-3.78930672E-5,
6.27E04,1.95140135E-3,
6.28E04,-1.38661149E-3,
6.29E04,-5.06859542E-5,
6.3E04,-1.38194603E-3,
6.31E04,2.62104836E-3,
6.32E04,-3.28993301E-5,
6.33E04,-4.29670217E-5,
6.34E04,5.27602853E-3,
6.35E04,-2.68936809E-3,
6.36E04,-3.36360605E-3,
6.37E04,1.95242092E-3,
6.38E04,3.27762915E-3,
6.39E04,-1.37275702E-3,
6.4E04,2.61502154E-3,
6.41E04,6.22638036E-4,
6.42E04,-2.71578482E-3,
6.43E04,-2.05170666E-3,
6.44E04,1.28676556E-3,
6.45E04,-2.68275291E-3,
6.46E04,-1.38194603E-3,
6.47E04,-3.41759273E-3,
6.48E04,-1.38189620E-3,
6.49E04,3.95342894E-3,
6.5E04,-4.70209587E-3,
6.51E04,-3.03892157E-5,
6.52E04,1.95396179E-3,
6.53E04,-3.40201333E-3,
6.54E04,-1.37275667E-3,
6.55E04,4.60432284E-3,
6.56E04,2.61497218E-3,
6.57E04,6.24209584E-4,
6.58E04,-6.99037337E-4,
6.59E04,-5.39434981E-3,
6.6E04,-4.04095137E-3,
6.61E04,1.95140135E-3,
6.62E04,-7.13216665E-4,
6.63E04,-3.38662951E-3,
6.64E04,-7.06080638E-4,
6.65E04,3.29296873E-3,
6.66E04,5.30428626E-3,
6.67E04,-2.69595394E-3,
6.68E04,-4.55649933E-5,
6.69E04,1.28676556E-3,
6.7E04,4.60437220E-3,
6.71E04,-7.36380275E-3,
6.72E04,-6.99037104E-4,
6.73E04,-5.41599095E-3,
6.74E04,6.22687570E-4,
6.75E04,-3.78930672E-5,
6.76E04,1.95135188E-3,
6.77E04,-3.38657945E-3,
6.78E04,6.21061597E-4,
6.79E04,-3.78930672E-5,
6.8E04,-7.06129998E-4,
6.81E04,-6.09200634E-3,
6.82E04,-7.13216956E-4,
6.83E04,-7.02528865E-4,
6.84E04,-1.35454594E-3,
6.85E04,-5.35156345E-3,
6.86E04,-6.84931641E-4,
6.87E04,-5.31585829E-5,
6.88E04,5.29860985E-3,
6.89E04,6.22638036E-4,
6.9E04,6.25727116E-4,
6.91E04,-5.99791855E-3,
6.92E04,-3.39433458E-3,
6.93E04,-4.80719464E-5,
6.94E04,-2.02927808E-3,
6.95E04,-2.02927808E-3,
6.96E04,-2.04045791E-3,
6.97E04,6.19579572E-4,
6.98E04,-3.31081240E-3,
6.99E04,-6.03298098E-3,
7E04,-4.70204605E-3,
